well_names,OD,GFP,sample_names,replication,drugname,concentration
B11,0.895257351578275,7947,1,1,phenol,0
C11,0.870287501528474,8227,1,1,phenol,0.05
D11,0.874959945801179,15117,1,1,phenol,0.5
E11,0.924738177324364,69073,1,1,phenol,5
F11,0.856911551894714,83805,1,1,phenol,50
G11,0.853849429438168,71393,1,1,phenol,500
B09,0.70880190860983,31417,2,1,phenol,0
B09,0.70880190860983,31417,2,1,phenol,0
B10,0.876921732245556,7100,2,1,phenol,0
B10,0.876921732245556,7100,2,1,phenol,0
C09,0.63461884564797,31886,2,1,phenol,0.05
C10,0.860683253207243,6410,2,1,phenol,0.1
D09,0.641764071143866,76001,2,1,phenol,0.5
D10,0.852308446797287,6780,2,1,phenol,1
E10,0.802187533265415,7370,2,1,phenol,10
F10,0.851278839637129,7885,2,1,phenol,100
G10,0.827224348463875,7630,2,1,phenol,1000
E09,0.635973929987241,126148,2,1,phenol,5
F09,0.643314486282078,143991,2,1,phenol,50
G09,0.641144468759243,146501,2,1,phenol,500
B07,0.919110092315938,4088,3,1,phenol,0
B07,0.919110092315938,4088,3,1,phenol,0
B08,0.934867772886534,95802,3,1,phenol,0
B08,0.934867772886534,95802,3,1,phenol,0
C07,0.897379704678216,3800,3,1,phenol,0.05
C08,0.866559806972363,89744,3,1,phenol,0.1
D07,0.901110022661149,4096,3,1,phenol,0.5
D08,0.874047469343713,125130,3,1,phenol,1
E08,0.838103710515796,226046,3,1,phenol,10
F08,0.858846033644982,272202,3,1,phenol,100
G08,0.877484479030969,290717,3,1,phenol,1000
E07,0.929904792627078,20565,3,1,phenol,5
F07,0.941926379654787,113583,3,1,phenol,50
G07,0.932468083530784,140173,3,1,phenol,500
B05,0.894578621696442,7152,4,1,phenol,0
B05,0.894578621696442,7152,4,1,phenol,0
B06,0.962466662104835,8285,4,1,phenol,0
B06,0.962466662104835,8285,4,1,phenol,0
C05,0.883504304755491,6952,4,1,phenol,0.05
C06,0.976830523712372,9096,4,1,phenol,0.1
D05,0.866171878203291,7328,4,1,phenol,0.5
D06,0.886792291860919,29236,4,1,phenol,1
E06,0.871250530191498,77176,4,1,phenol,10
F06,0.871238009629264,81057,4,1,phenol,100
G06,0.866530906715456,68592,4,1,phenol,1000
E05,0.844920118443092,7753,4,1,phenol,5
F05,0.861127465062324,7783,4,1,phenol,50
G05,0.815299033135305,7638,4,1,phenol,500
B03,0.879347159295534,94601,5,1,phenol,0
B03,0.879347159295534,94601,5,1,phenol,0
B04,0.658363301008857,29836,5,1,phenol,0
B04,0.658363301008857,29836,5,1,phenol,0
C03,0.854202423088291,95085,5,1,phenol,0.05
C04,0.651558188946301,41622,5,1,phenol,0.1
D03,0.865656551664103,173203,5,1,phenol,0.5
D04,0.638218250271029,102397,5,1,phenol,1
E04,0.642633495340543,133085,5,1,phenol,10
F04,0.646937192385419,146184,5,1,phenol,100
G04,0.63947692342855,159924,5,1,phenol,1000
E03,0.85067737053216,249122,5,1,phenol,5
F03,0.865067767026244,279954,5,1,phenol,50
G03,0.876304818564819,332846,5,1,phenol,500
B02,0.924162646594236,3882,6,1,phenol,0
C02,0.914525818631273,3928,6,1,phenol,0.1
D02,0.89943676547129,4280,6,1,phenol,1
E02,0.922835233229819,44070,6,1,phenol,10
F02,0.936863129808899,127999,6,1,phenol,100
G02,0.904282312957357,124002,6,1,phenol,1000
B11,0.806238884729904,7857,1,2,phenol,0
C11,0.833259729890884,7999,1,2,phenol,0.05
D11,0.820274301336731,17387,1,2,phenol,0.5
E11,0.812109154331243,64928,1,2,phenol,5
F11,0.815006906672966,75917,1,2,phenol,50
G11,0.839875928241789,74883,1,2,phenol,500
B09,0.646889750062076,34475,2,2,phenol,0
B09,0.646889750062076,34475,2,2,phenol,0
B10,0.84599539778426,7248,2,2,phenol,0
B10,0.84599539778426,7248,2,2,phenol,0
C09,0.632387390670409,54383,2,2,phenol,0.05
C10,0.822166606701748,6456,2,2,phenol,0.1
D09,0.639773910958928,107692,2,2,phenol,0.5
D10,0.825471984896634,6964,2,2,phenol,1
E10,0.818026838883732,7444,2,2,phenol,10
F10,0.81559024387538,7827,2,2,phenol,100
G10,0.826840148780262,8167,2,2,phenol,1000
E09,0.642456866894604,155097,2,2,phenol,5
F09,0.649470309576257,171111,2,2,phenol,50
G09,0.664235017998743,183539,2,2,phenol,500
B07,0.884598957700774,3958,3,2,phenol,0
B07,0.884598957700774,3958,3,2,phenol,0
B08,0.933364750089074,112003,3,2,phenol,0
B08,0.933364750089074,112003,3,2,phenol,0
C07,0.886643708847433,4060,3,2,phenol,0.05
C08,0.886811316277131,104339,3,2,phenol,0.1
D07,0.888927003053323,7480,3,2,phenol,0.5
D08,0.913669287150288,174110,3,2,phenol,1
E08,0.90753963577831,279551,3,2,phenol,10
F08,0.927533101111225,316112,3,2,phenol,100
G08,0.934764170723189,326934,3,2,phenol,1000
E07,0.917034059690307,49801,3,2,phenol,5
F07,0.91806291522495,121054,3,2,phenol,50
G07,0.927608643724375,137306,3,2,phenol,500
B05,0.833331932115815,7086,4,2,phenol,0
B05,0.833331932115815,7086,4,2,phenol,0
B06,0.843132798744787,9060,4,2,phenol,0
B06,0.843132798744787,9060,4,2,phenol,0
C05,0.84172404201337,7354,4,2,phenol,0.05
C06,0.843416655169643,12776,4,2,phenol,0.1
D05,0.904945939584956,8539,4,2,phenol,0.5
D06,0.845268211218176,45312,4,2,phenol,1
E06,0.82741711511063,75747,4,2,phenol,10
F06,0.857706626148992,88275,4,2,phenol,100
G06,0.859495108586456,78904,4,2,phenol,1000
E05,0.879488651583326,8785,4,2,phenol,5
F05,0.913577843256765,9014,4,2,phenol,50
G05,0.96535771479051,9092,4,2,phenol,500
B03,0.84869977492177,99591,5,2,phenol,0
B03,0.84869977492177,99591,5,2,phenol,0
B04,0.626146815929749,41220,5,2,phenol,0
B04,0.626146815929749,41220,5,2,phenol,0
C03,0.917370591657479,116433,5,2,phenol,0.05
C04,0.658652927428576,85627,5,2,phenol,0.1
D03,0.948164735853259,209507,5,2,phenol,0.5
D04,0.662341556057687,152916,5,2,phenol,1
E04,0.676929495916718,184528,5,2,phenol,10
F04,0.69309085390918,204585,5,2,phenol,100
G04,0.728091960206715,248852,5,2,phenol,1000
E03,0.943437888790008,288556,5,2,phenol,5
F03,0.937610434563959,254891,5,2,phenol,50
G03,0.718995559051652,173589,5,2,phenol,500
B02,0.899928589681986,3952,6,2,phenol,0
C02,0.905959996796479,3860,6,2,phenol,0.1
D02,0.898032152474548,4771,6,2,phenol,1
E02,0.92397860873165,55411,6,2,phenol,10
F02,0.949165928738656,122793,6,2,phenol,100
G02,0.815648620712877,106477,6,2,phenol,1000
G01,0.719255645478112,3350,1,3,phenol,0
G01,0.719255645478112,3350,1,3,phenol,0
G02,0.78960985032614,3200,1,3,phenol,0
G02,0.78960985032614,3200,1,3,phenol,0
F02,0.71025617914944,3238,1,3,phenol,0.05
F01,0.668827349866269,3148,1,3,phenol,0.1
E02,0.693836419447606,3308,1,3,phenol,0.5
E01,0.629825398846766,3264,1,3,phenol,1
D01,0.686064929800396,4372,1,3,phenol,10
C01,0.738245628034304,39789,1,3,phenol,100
B01,0.667165861036804,70872,1,3,phenol,1000
D02,0.73056917181089,3678,1,3,phenol,5
C02,0.73089469912051,27176,1,3,phenol,50
B02,0.645620291248344,50617,1,3,phenol,500
G03,0.759473621379251,39303,2,3,phenol,0
G03,0.759473621379251,39303,2,3,phenol,0
G04,0.736438581304787,33431,2,3,phenol,0
G04,0.736438581304787,33431,2,3,phenol,0
F04,0.72285572037239,31407,2,3,phenol,0.05
F03,0.713156436694335,32370,2,3,phenol,0.1
E04,0.741554808877503,45919,2,3,phenol,0.5
E03,0.742072885069844,57784,2,3,phenol,1
D03,0.724547022794768,123755,2,3,phenol,10
C03,0.72772588078055,143784,2,3,phenol,100
B03,0.882995303113655,214140,2,3,phenol,1000
D04,0.715570573534938,107755,2,3,phenol,5
C04,0.745990886383413,141735,2,3,phenol,50
B04,0.695752094009404,133462,2,3,phenol,500
G05,0.55208704911254,22409,3,3,phenol,0
G05,0.55208704911254,22409,3,3,phenol,0
G06,0.52739869168321,20488,3,3,phenol,0
G06,0.52739869168321,20488,3,3,phenol,0
F06,0.529851486736652,25352,3,3,phenol,0.05
F05,0.480742261012062,19549,3,3,phenol,0.1
E06,0.50015155773721,49683,3,3,phenol,0.5
E05,0.569772551429434,66969,3,3,phenol,1
D05,0.545046984401926,118155,3,3,phenol,10
C05,0.525279913632424,121042,3,3,phenol,100
B05,0.547206856449751,117724,3,3,phenol,1000
D06,0.531340605309891,109579,3,3,phenol,5
C06,0.514951257045755,116773,3,3,phenol,50
B06,0.568196125148814,124522,3,3,phenol,500
G07,0.666312575792621,8421,4,3,phenol,0
G07,0.666312575792621,8421,4,3,phenol,0
G08,0.67956434024025,9000,4,3,phenol,0
G08,0.67956434024025,9000,4,3,phenol,0
F08,0.707282914691659,10395,4,3,phenol,0.05
F07,0.684700084599012,9796,4,3,phenol,0.1
E08,0.693660399988491,17142,4,3,phenol,0.5
E07,0.628854628068044,19298,4,3,phenol,1
D07,0.722512278253985,92881,4,3,phenol,10
C07,0.643895615560429,117692,4,3,phenol,100
B07,0.718713760027892,118973,4,3,phenol,1000
D08,0.702185156672856,67305,4,3,phenol,5
C08,0.66077952276817,118293,4,3,phenol,50
B08,0.687596572436196,113755,4,3,phenol,500
G09,0.755268443086651,26745,5,3,phenol,0
G09,0.755268443086651,26745,5,3,phenol,0
G10,0.746318724812856,26456,5,3,phenol,0
G10,0.746318724812856,26456,5,3,phenol,0
F10,0.752524761423923,34766,5,3,phenol,0.05
F09,0.731305759583973,38640,5,3,phenol,0.1
E10,0.75794534503031,65322,5,3,phenol,0.5
E09,0.738103262782345,88471,5,3,phenol,1
D09,0.747439656507401,152768,5,3,phenol,10
C09,0.620853675638715,164443,5,3,phenol,100
B09,0.72428316526915,162558,5,3,phenol,1000
D10,0.720166231460189,133734,5,3,phenol,5
C10,0.718586529794204,162831,5,3,phenol,50
B10,0.719792274594879,161560,5,3,phenol,500
G11,0.740825556732665,24020,6,3,phenol,0
G11,0.740825556732665,24020,6,3,phenol,0
G12,0.751697043562925,25825,6,3,phenol,0
G12,0.751697043562925,25825,6,3,phenol,0
F12,0.745380002223169,28809,6,3,phenol,0.05
F11,0.665759492950036,22216,6,3,phenol,0.1
E12,0.725096240359719,47715,6,3,phenol,0.5
E11,0.746028701266817,58317,6,3,phenol,1
D11,0.743051424040258,141830,6,3,phenol,10
C11,0.695541629027382,146140,6,3,phenol,100
B11,0.710386797960585,155810,6,3,phenol,1000
D12,0.720671287282686,127639,6,3,phenol,5
C12,0.709004233346344,146864,6,3,phenol,50
B12,0.664180143463878,145277,6,3,phenol,500
G01,0.634054203573728,3208,1,4,phenol,0
G01,0.634054203573728,3208,1,4,phenol,0
G02,0.626446802110846,3078,1,4,phenol,0
G02,0.626446802110846,3078,1,4,phenol,0
F02,0.675725540140273,3126,1,4,phenol,0.05
F01,0.764785596730783,3268,1,4,phenol,0.1
E02,0.749642166151814,3346,1,4,phenol,0.5
E01,0.742033461940213,3422,1,4,phenol,1
D01,0.716752686770978,4342,1,4,phenol,10
C01,0.733494905619416,33784,1,4,phenol,100
B01,0.724761717032727,70112,1,4,phenol,1000
D02,0.634110065289757,3224,1,4,phenol,5
C02,0.694671421424168,19957,1,4,phenol,50
B02,0.723846909015929,52258,1,4,phenol,500
G03,0.762226912561053,34726,2,4,phenol,0
G03,0.762226912561053,34726,2,4,phenol,0
G04,0.747404165310241,31668,2,4,phenol,0
G04,0.747404165310241,31668,2,4,phenol,0
F04,0.734843595093141,31042,2,4,phenol,0.05
F03,0.762194290236515,35924,2,4,phenol,0.1
E04,0.753916163325434,43647,2,4,phenol,0.5
E03,0.740982156997329,48292,2,4,phenol,1
D03,0.769789265271216,127230,2,4,phenol,10
C03,0.809592091320515,155073,2,4,phenol,100
B03,0.858515076769522,206888,2,4,phenol,1000
D04,0.747438848457076,105350,2,4,phenol,5
C04,0.735637639193507,137350,2,4,phenol,50
B04,0.717558455435715,134433,2,4,phenol,500
G05,0.556454026387937,19028,3,4,phenol,0
G05,0.556454026387937,19028,3,4,phenol,0
G06,0.558610439926294,18535,3,4,phenol,0
G06,0.558610439926294,18535,3,4,phenol,0
F06,0.657987256727379,32785,3,4,phenol,0.05
F05,0.56622152700788,21060,3,4,phenol,0.1
E06,0.533620519080368,29166,3,4,phenol,0.5
E05,0.559523877568073,43878,3,4,phenol,1
D05,0.575377017575636,116094,3,4,phenol,10
C05,0.59047992962383,133872,3,4,phenol,100
B05,0.548541790098719,119131,3,4,phenol,1000
D06,0.541100396071358,97466,3,4,phenol,5
C06,0.571395940228005,125075,3,4,phenol,50
B06,0.561058767427308,117633,3,4,phenol,500
G07,0.723253017244095,7839,4,4,phenol,0
G07,0.723253017244095,7839,4,4,phenol,0
G08,0.683844590427627,7414,4,4,phenol,0
G08,0.683844590427627,7414,4,4,phenol,0
F08,0.742516421670395,7787,4,4,phenol,0.05
F07,0.76247818657147,8581,4,4,phenol,0.1
E08,0.721892221493574,10113,4,4,phenol,0.5
E07,0.779514398413642,13082,4,4,phenol,1
D07,0.698319597843855,71959,4,4,phenol,10
C07,0.747612305750829,124311,4,4,phenol,100
B07,0.753896960633486,120936,4,4,phenol,1000
D08,0.748382661904054,49204,4,4,phenol,5
C08,0.674071316747404,112483,4,4,phenol,50
B08,0.70317029717273,111971,4,4,phenol,500
G09,0.751570129551041,16808,5,4,phenol,0
G09,0.751570129551041,16808,5,4,phenol,0
G10,0.73418554751925,15778,5,4,phenol,0
G10,0.73418554751925,15778,5,4,phenol,0
F10,0.729126008534145,15548,5,4,phenol,0.05
F09,0.764782315111019,19370,5,4,phenol,0.1
E10,0.766330709154129,28508,5,4,phenol,0.5
E09,0.771055900921796,53243,5,4,phenol,1
D09,0.77142561673571,149229,5,4,phenol,10
C09,0.721223808639769,161936,5,4,phenol,100
B09,0.717308330715756,169634,5,4,phenol,1000
D10,0.771575591234157,119485,5,4,phenol,5
C10,0.723366360996669,159709,5,4,phenol,50
B10,0.748958162888974,158904,5,4,phenol,500
G11,0.75087037265424,16862,6,4,phenol,0
G11,0.75087037265424,16862,6,4,phenol,0
G12,0.744694844896261,17365,6,4,phenol,0
G12,0.744694844896261,17365,6,4,phenol,0
F12,0.738859327156905,16798,6,4,phenol,0.05
F11,0.747152007531613,17573,6,4,phenol,0.1
E12,0.708035470244276,24598,6,4,phenol,0.5
E11,0.689213237902558,28338,6,4,phenol,1
D11,0.734139674410517,132025,6,4,phenol,10
C11,0.697430670135888,144981,6,4,phenol,100
B11,0.744851537138621,160969,6,4,phenol,1000
D12,0.716908430557241,108618,6,4,phenol,5
C12,0.658901788383319,141096,6,4,phenol,50
B12,0.720334188758243,149724,6,4,phenol,500
